time;value
2023-07-08T09:01:07.596Z;0
2023-07-08T09:01:08.601Z;0
2023-07-08T09:01:09.607Z;0
2023-07-08T09:01:10.611Z;0.281521
2023-07-08T09:01:11.608Z;0
2023-07-08T09:01:12.613Z;0
2023-07-08T09:01:13.599Z;0
2023-07-08T09:01:14.631Z;0
2023-07-08T09:01:15.598Z;0
2023-07-08T09:01:16.619Z;0
2023-07-08T09:01:17.623Z;0
2023-07-08T09:01:18.607Z;0.429502
2023-07-08T09:01:19.613Z;2.320683
2023-07-08T09:01:20.614Z;2.509023
2023-07-08T09:01:21.623Z;2.740623
2023-07-08T09:01:22.620Z;2.650871
2023-07-08T09:01:23.615Z;2.755263
2023-07-08T09:01:24.607Z;2.682129
2023-07-08T09:01:25.619Z;2.518849
2023-07-08T09:01:26.624Z;2.723939
2023-07-08T09:01:27.634Z;2.62812
2023-07-08T09:01:28.616Z;2.74458
2023-07-08T09:01:29.613Z;61.746084
2023-07-08T09:01:30.633Z;5.487247
2023-07-08T09:01:31.623Z;3.568171
2023-07-08T09:01:32.631Z;9.214412
2023-07-08T09:01:33.617Z;21.365041
2023-07-08T09:01:34.643Z;22.272977
2023-07-08T09:01:35.639Z;23.222062
2023-07-08T09:01:36.636Z;51.6484
2023-07-08T09:01:37.625Z;45.455538
2023-07-08T09:01:38.628Z;17.696303
2023-07-08T09:01:39.643Z;19.917475
2023-07-08T09:01:40.641Z;19.529057
2023-07-08T09:01:41.637Z;18.27992
2023-07-08T09:01:42.640Z;20.746012
2023-07-08T09:01:43.637Z;11.170351
2023-07-08T09:01:44.638Z;10.451217
2023-07-08T09:01:45.647Z;10.906966
2023-07-08T09:01:46.655Z;39.062532
2023-07-08T09:01:47.645Z;18.157789
2023-07-08T09:01:48.649Z;20.08702
2023-07-08T09:01:49.655Z;14.104656
2023-07-08T09:01:50.648Z;12.25357
2023-07-08T09:01:51.660Z;235.962428
2023-07-08T09:01:52.642Z;2184.29781
2023-07-08T09:01:53.661Z;2229.783418
2023-07-08T09:01:54.667Z;2217.434756
2023-07-08T09:01:55.653Z;2216.561177
2023-07-08T09:01:56.649Z;2210.08297
2023-07-08T09:01:57.668Z;2210.499481
2023-07-08T09:01:58.650Z;2203.802466
2023-07-08T09:01:59.660Z;2202.88543
2023-07-08T09:02:00.651Z;2201.416498
2023-07-08T09:02:01.652Z;2219.611744
2023-07-08T09:02:02.658Z;2212.210367
2023-07-08T09:02:03.678Z;2211.005216
2023-07-08T09:02:04.655Z;2211.541813
2023-07-08T09:02:05.652Z;2212.481402
2023-07-08T09:02:06.692Z;2213.371137
2023-07-08T09:02:07.665Z;2211.039046
2023-07-08T09:02:09.694Z;2203.101665
2023-07-08T09:02:09.737Z;2203.101665
2023-07-08T09:02:10.685Z;2203.54218
2023-07-08T09:02:11.669Z;2229.220311
2023-07-08T09:02:12.689Z;2213.45225
2023-07-08T09:02:13.688Z;2212.165788
2023-07-08T09:02:14.682Z;2214.977434
2023-07-08T09:02:15.667Z;2216.120465
2023-07-08T09:02:16.695Z;2218.233881
2023-07-08T09:02:17.701Z;2218.557079
2023-07-08T09:02:18.683Z;2211.2657
2023-07-08T09:02:19.678Z;2210.4276
2023-07-08T09:02:20.692Z;2227.613289
2023-07-08T09:02:21.701Z;2227.12226
2023-07-08T09:02:22.701Z;2225.788053
2023-07-08T09:02:23.692Z;2218.842623
2023-07-08T09:02:24.706Z;2225.916251
2023-07-08T09:02:25.700Z;2223.678066
2023-07-08T09:02:26.696Z;2221.182034
2023-07-08T09:02:27.692Z;2211.266359
2023-07-08T09:02:28.710Z;2210.605059
2023-07-08T09:02:29.690Z;2204.573038
2023-07-08T09:02:30.691Z;2240.541743
2023-07-08T09:02:31.699Z;2224.49348
2023-07-08T09:02:32.703Z;2232.453084
2023-07-08T09:02:33.705Z;2226.241362
2023-07-08T09:02:34.709Z;2228.318508
2023-07-08T09:02:35.911Z;2220.080021
2023-07-08T09:02:36.710Z;2208.680708
