time;value
2023-07-08T17:18:06.796Z;0
2023-07-08T17:18:07.771Z;0
2023-07-08T17:18:08.768Z;0.488721
2023-07-08T17:18:09.791Z;2.842443
2023-07-08T17:18:10.794Z;3.030255
2023-07-08T17:18:11.770Z;2.873833
2023-07-08T17:18:12.787Z;3.266141
2023-07-08T17:18:13.786Z;3.135636
2023-07-08T17:18:14.777Z;16.193145
2023-07-08T17:18:15.793Z;10.411122
2023-07-08T17:18:16.882Z;15.243004
2023-07-08T17:18:17.786Z;29.699083
2023-07-08T17:18:18.803Z;33.352258
2023-07-08T17:18:19.796Z;29.364146
2023-07-08T17:18:20.784Z;23.151039
2023-07-08T17:18:21.779Z;21.667335
2023-07-08T17:18:22.795Z;21.672215
2023-07-08T17:18:23.782Z;21.726949
2023-07-08T17:18:24.780Z;21.817097
2023-07-08T17:18:25.807Z;21.758999
2023-07-08T17:18:26.808Z;21.609896
2023-07-08T17:18:27.788Z;21.404015
2023-07-08T17:18:28.786Z;21.61504
2023-07-08T17:18:29.803Z;21.559976
2023-07-08T17:18:30.795Z;21.575539
2023-07-08T17:18:31.806Z;17.572656
2023-07-08T17:18:32.808Z;12.841143
2023-07-08T17:18:33.816Z;12.838703
2023-07-08T17:18:34.817Z;12.712022
2023-07-08T17:18:35.803Z;12.55039
2023-07-08T17:18:36.824Z;11.34359
2023-07-08T17:18:37.819Z;12.136187
2023-07-08T17:18:38.799Z;12.11548
2023-07-08T17:18:39.799Z;12.141067
2023-07-08T17:18:40.819Z;10.538463
2023-07-08T17:18:41.804Z;12.519132
2023-07-08T17:18:42.819Z;12.649637
2023-07-08T17:18:43.828Z;6.689299
2023-07-08T17:18:44.817Z;5.63813
2023-07-08T17:18:45.833Z;3.53144
2023-07-08T17:18:46.822Z;4.803855
2023-07-08T17:18:47.810Z;16.128387
2023-07-08T17:18:48.831Z;24.796376
2023-07-08T17:18:49.843Z;15.764368
2023-07-08T17:18:50.818Z;12.29716
2023-07-08T17:18:51.825Z;12.634206
2023-07-08T17:18:52.844Z;8.161727
2023-07-08T17:18:53.838Z;5.506173
2023-07-08T17:18:54.823Z;5.462385
2023-07-08T17:18:55.832Z;5.436996
2023-07-08T17:18:56.832Z;5.634239
2023-07-08T17:18:57.821Z;5.538816
2023-07-08T17:18:58.862Z;5.589396
2023-07-08T17:18:59.823Z;5.579043
2023-07-08T17:19:00.829Z;5.65
2023-07-08T17:19:01.860Z;5.555434
2023-07-08T17:19:02.860Z;5.595529
2023-07-08T17:19:03.867Z;9.445419
2023-07-08T17:19:04.899Z;14.730345
2023-07-08T17:19:05.865Z;14.770044
2023-07-08T17:19:06.851Z;14.644946
2023-07-08T17:19:07.852Z;14.880832
2023-07-08T17:19:08.848Z;14.69612
2023-07-08T17:19:09.856Z;14.604126
2023-07-08T17:19:10.852Z;14.60894
2023-07-08T17:19:11.848Z;14.793917
2023-07-08T17:19:12.848Z;14.737731
2023-07-08T17:19:13.865Z;15.009822
2023-07-08T17:19:14.863Z;11.156107
2023-07-08T17:19:15.848Z;7.951031
2023-07-08T17:19:16.867Z;8.014734
2023-07-08T17:19:17.868Z;7.86583
2023-07-08T17:19:18.850Z;7.853366
2023-07-08T17:19:19.893Z;7.858905
2023-07-08T17:19:20.856Z;7.877634
2023-07-08T17:19:21.858Z;7.962506
2023-07-08T17:19:22.866Z;8.000029
2023-07-08T17:19:23.855Z;7.909354
2023-07-08T17:19:24.857Z;7.901704
2023-07-08T17:19:25.878Z;7.890625
2023-07-08T17:19:26.860Z;7.978794
2023-07-08T17:19:27.859Z;8.021395
2023-07-08T17:19:28.884Z;8.499235
2023-07-08T17:19:29.877Z;8.801067
2023-07-08T17:19:30.869Z;3.094486
2023-07-08T17:19:31.888Z;9.088786
2023-07-08T17:19:32.868Z;26.728311
2023-07-08T17:19:33.879Z;26.860135
2023-07-08T17:19:34.891Z;26.606707
2023-07-08T17:19:35.886Z;26.640999
2023-07-08T17:19:36.874Z;19.208232
2023-07-08T17:19:37.921Z;18.148029
