time;value
2023-07-07T16:41:24.217Z;0
2023-07-07T16:41:25.206Z;0
2023-07-07T16:41:26.214Z;0.278289
2023-07-07T16:41:27.213Z;0
2023-07-07T16:41:28.215Z;0.296754
2023-07-07T16:41:29.239Z;0
2023-07-07T16:41:30.207Z;0
2023-07-07T16:41:31.213Z;0
2023-07-07T16:41:32.245Z;0
2023-07-07T16:41:33.233Z;0
2023-07-07T16:41:34.221Z;0
2023-07-07T16:41:35.212Z;0
2023-07-07T16:41:36.238Z;0
2023-07-07T16:41:37.227Z;1.464251
2023-07-07T16:41:38.233Z;2.365592
2023-07-07T16:41:39.220Z;2.580442
2023-07-07T16:41:40.222Z;2.805711
2023-07-07T16:41:41.219Z;2.655751
2023-07-07T16:41:42.236Z;2.708573
2023-07-07T16:41:43.220Z;2.823186
2023-07-07T16:41:44.230Z;2.634583
2023-07-07T16:41:45.235Z;2.729874
2023-07-07T16:41:46.241Z;57.949412
2023-07-07T16:41:47.455Z;8.723977
2023-07-07T16:41:48.224Z;3.806564
2023-07-07T16:41:49.254Z;5.743445
2023-07-07T16:41:50.237Z;24.172005
2023-07-07T16:41:51.250Z;18.213249
2023-07-07T16:41:52.240Z;15.315346
2023-07-07T16:41:53.264Z;24.217639
2023-07-07T16:41:54.246Z;18.687528
2023-07-07T16:41:55.233Z;77.024567
2023-07-07T16:41:56.259Z;17.056831
2023-07-07T16:41:57.236Z;16.132277
2023-07-07T16:41:58.261Z;19.067241
2023-07-07T16:41:59.249Z;16.99049
2023-07-07T16:42:00.259Z;16.595082
2023-07-07T16:42:01.254Z;13.704961
2023-07-07T16:42:02.252Z;10.558049
2023-07-07T16:42:03.250Z;10.70669
2023-07-07T16:42:04.260Z;36.561752
2023-07-07T16:42:05.256Z;18.803921
2023-07-07T16:42:06.250Z;14.153719
2023-07-07T16:42:07.281Z;11.614757
2023-07-07T16:42:08.253Z;12.041292
2023-07-07T16:42:09.250Z;1662.009895
2023-07-07T16:42:10.254Z;2225.097342
2023-07-07T16:42:11.267Z;2252.282258
2023-07-07T16:42:12.272Z;2231.910354
2023-07-07T16:42:13.256Z;2226.606633
2023-07-07T16:42:14.257Z;2227.003162
2023-07-07T16:42:15.259Z;2225.315687
2023-07-07T16:42:16.283Z;2220.926694
2023-07-07T16:42:17.274Z;2228.095217
2023-07-07T16:42:18.288Z;2231.893142
2023-07-07T16:42:19.273Z;2259.036974
2023-07-07T16:42:20.281Z;2237.437366
2023-07-07T16:42:21.277Z;2236.851112
2023-07-07T16:42:22.282Z;2237.800131
2023-07-07T16:42:23.271Z;2235.144973
2023-07-07T16:42:24.272Z;2236.730497
2023-07-07T16:42:25.277Z;2235.246199
2023-07-07T16:42:26.283Z;2229.969846
2023-07-07T16:42:27.277Z;2231.632658
2023-07-07T16:42:28.286Z;2243.90278
2023-07-07T16:42:29.286Z;2250.173128
2023-07-07T16:42:30.285Z;2236.288598
2023-07-07T16:42:31.298Z;2228.495638
2023-07-07T16:42:32.295Z;2225.099518
2023-07-07T16:42:33.283Z;2225.204173
2023-07-07T16:42:34.299Z;2222.011429
2023-07-07T16:42:35.300Z;2217.616303
2023-07-07T16:42:36.312Z;2218.180861
2023-07-07T16:42:37.302Z;2218.114784
2023-07-07T16:42:38.301Z;2242.397182
2023-07-07T16:42:39.296Z;2229.135571
2023-07-07T16:42:40.304Z;2223.792085
2023-07-07T16:42:41.296Z;2224.796763
2023-07-07T16:42:42.301Z;2232.142481
2023-07-07T16:42:43.301Z;2225.819641
2023-07-07T16:42:44.306Z;2228.017468
2023-07-07T16:42:45.296Z;2216.18397
2023-07-07T16:42:46.311Z;2219.707694
2023-07-07T16:42:47.371Z;2228.931998
2023-07-07T16:42:48.322Z;2242.290812
2023-07-07T16:42:49.320Z;2225.632554
2023-07-07T16:42:50.339Z;2215.709493
2023-07-07T16:42:51.303Z;2227.86487
2023-07-07T16:42:52.316Z;2234.157903
2023-07-07T16:42:53.314Z;2222.921409
2023-07-07T16:42:54.322Z;2222.163631
2023-07-07T16:42:55.317Z;2217.057152
2023-07-07T16:42:56.325Z;2205.024236
2023-07-07T16:42:57.343Z;2206.544342
2023-07-07T16:42:58.554Z;2211.133743
