time;value
2023-07-07T19:58:45.377Z;3.142955
2023-07-07T19:58:46.398Z;2.752955
2023-07-07T19:58:47.387Z;3.057029
2023-07-07T19:58:48.379Z;2.856093
2023-07-07T19:58:49.374Z;3.156079
2023-07-07T19:58:50.394Z;2.822065
2023-07-07T19:58:51.381Z;3.045356
2023-07-07T19:58:52.380Z;2.774914
2023-07-07T19:58:53.389Z;3.019242
2023-07-07T19:58:54.398Z;2.94202
2023-07-07T19:58:55.401Z;3.041927
2023-07-07T19:58:56.404Z;2.815075
2023-07-07T19:58:57.405Z;3.019638
2023-07-07T19:58:58.410Z;3.165904
2023-07-07T19:58:59.409Z;9.258266
2023-07-07T19:59:00.387Z;13.400557
2023-07-07T19:59:01.390Z;9.631253
2023-07-07T19:59:02.407Z;23.367472
2023-07-07T19:59:03.402Z;33.493512
2023-07-07T19:59:04.396Z;32.821925
2023-07-07T19:59:05.408Z;25.008258
2023-07-07T19:59:06.403Z;22.045531
2023-07-07T19:59:07.412Z;21.824944
2023-07-07T19:59:08.407Z;21.898737
2023-07-07T19:59:09.421Z;21.886933
2023-07-07T19:59:10.410Z;21.863852
2023-07-07T19:59:11.440Z;22.026935
2023-07-07T19:59:12.421Z;21.655069
2023-07-07T19:59:13.425Z;21.749898
2023-07-07T19:59:14.420Z;21.834044
2023-07-07T19:59:15.424Z;21.713101
2023-07-07T19:59:16.432Z;21.724575
2023-07-07T19:59:17.429Z;13.209843
2023-07-07T19:59:18.423Z;12.940325
2023-07-07T19:59:19.424Z;12.706878
2023-07-07T19:59:20.432Z;12.821821
2023-07-07T19:59:21.426Z;12.170413
2023-07-07T19:59:22.447Z;12.014584
2023-07-07T19:59:23.430Z;12.32334
2023-07-07T19:59:24.431Z;12.273947
2023-07-07T19:59:25.428Z;12.32789
2023-07-07T19:59:26.442Z;10.332779
2023-07-07T19:59:27.422Z;12.497699
2023-07-07T19:59:28.437Z;12.065428
2023-07-07T19:59:29.452Z;5.835306
2023-07-07T19:59:30.439Z;5.552269
2023-07-07T19:59:31.454Z;5.297654
2023-07-07T19:59:32.436Z;16.710091
2023-07-07T19:59:33.450Z;24.59854
2023-07-07T19:59:34.443Z;14.779474
2023-07-07T19:59:35.437Z;12.351103
2023-07-07T19:59:36.435Z;12.559358
2023-07-07T19:59:37.445Z;7.766054
2023-07-07T19:59:38.465Z;5.565986
2023-07-07T19:59:39.453Z;5.667344
2023-07-07T19:59:40.442Z;5.486653
2023-07-07T19:59:41.442Z;5.471024
2023-07-07T19:59:42.446Z;5.565194
2023-07-07T19:59:43.442Z;5.514218
2023-07-07T19:59:44.452Z;5.609509
2023-07-07T19:59:45.444Z;5.503799
2023-07-07T19:59:46.445Z;5.505118
2023-07-07T19:59:47.459Z;5.516461
2023-07-07T19:59:48.463Z;5.479795
2023-07-07T19:59:49.459Z;10.455702
2023-07-07T19:59:50.467Z;14.810469
2023-07-07T19:59:51.462Z;14.819503
2023-07-07T19:59:52.474Z;14.848849
2023-07-07T19:59:53.462Z;14.990566
2023-07-07T19:59:54.472Z;14.95845
2023-07-07T19:59:55.479Z;14.831308
