time;value
2023-07-10T17:20:29.370Z;0
2023-07-10T17:20:30.372Z;0
2023-07-10T17:20:31.355Z;0
2023-07-10T17:20:32.353Z;2.264036
2023-07-10T17:20:33.374Z;3.120864
2023-07-10T17:20:34.356Z;2.745437
2023-07-10T17:20:35.363Z;3.076878
2023-07-10T17:20:36.363Z;2.771353
2023-07-10T17:20:37.358Z;3.242071
2023-07-10T17:20:38.358Z;2.853719
2023-07-10T17:20:39.364Z;3.102663
2023-07-10T17:20:40.376Z;2.844289
2023-07-10T17:20:41.371Z;3.104575
2023-07-10T17:20:42.367Z;3.249259
2023-07-10T17:20:43.370Z;3.215034
2023-07-10T17:20:44.391Z;3.203032
2023-07-10T17:20:45.375Z;3.312831
2023-07-10T17:20:46.374Z;3.213253
2023-07-10T17:20:47.384Z;3.102597
2023-07-10T17:20:48.378Z;15.881158
2023-07-10T17:20:49.405Z;10.636853
2023-07-10T17:20:50.396Z;14.51754
2023-07-10T17:20:51.391Z;29.269251
2023-07-10T17:20:52.400Z;33.566844
2023-07-10T17:20:53.484Z;30.530588
2023-07-10T17:20:54.389Z;23.442452
2023-07-10T17:20:55.385Z;21.841562
2023-07-10T17:20:56.427Z;21.766714
2023-07-10T17:20:57.480Z;21.765
2023-07-10T17:20:58.421Z;21.728928
2023-07-10T17:20:59.401Z;21.454661
2023-07-10T17:21:00.401Z;21.315714
2023-07-10T17:21:01.394Z;21.210597
2023-07-10T17:21:02.400Z;21.286302
2023-07-10T17:21:03.407Z;21.254187
2023-07-10T17:21:04.421Z;21.419512
2023-07-10T17:21:05.409Z;16.966222
2023-07-10T17:21:06.406Z;12.328352
2023-07-10T17:21:07.417Z;12.441646
2023-07-10T17:21:08.442Z;12.418895
2023-07-10T17:21:09.424Z;12.366732
2023-07-10T17:21:10.412Z;11.221459
2023-07-10T17:21:11.434Z;12.220927
2023-07-10T17:21:12.410Z;12.090553
2023-07-10T17:21:13.408Z;12.221322
2023-07-10T17:21:14.425Z;10.454119
2023-07-10T17:21:15.430Z;12.428852
2023-07-10T17:21:16.414Z;6.26527
2023-07-10T17:21:17.413Z;5.470892
2023-07-10T17:21:18.415Z;3.698083
2023-07-10T17:21:19.422Z;3.817049
2023-07-10T17:21:20.426Z;14.744062
2023-07-10T17:21:21.422Z;24.9069
2023-07-10T17:21:22.441Z;16.819626
2023-07-10T17:21:23.433Z;12.000735
2023-07-10T17:21:24.426Z;12.575449
2023-07-10T17:21:25.437Z;8.915614
2023-07-10T17:21:26.438Z;5.45256
2023-07-10T17:21:27.426Z;5.4184
2023-07-10T17:21:28.457Z;5.502744
2023-07-10T17:21:29.448Z;5.550357
2023-07-10T17:21:30.434Z;5.339397
2023-07-10T17:21:31.441Z;5.417806
2023-07-10T17:21:32.447Z;5.431721
2023-07-10T17:21:33.434Z;5.448735
2023-07-10T17:21:34.437Z;5.374151
2023-07-10T17:21:35.438Z;5.453351
2023-07-10T17:21:36.442Z;5.506767
2023-07-10T17:21:37.450Z;8.829753
2023-07-10T17:21:38.452Z;14.713397
2023-07-10T17:21:39.465Z;14.741292
2023-07-10T17:21:40.454Z;14.810733
2023-07-10T17:21:41.456Z;14.893692
2023-07-10T17:21:42.463Z;14.864676
2023-07-10T17:21:43.451Z;14.75336
2023-07-10T17:21:44.463Z;14.584012
2023-07-10T17:21:45.450Z;14.710759
2023-07-10T17:21:46.454Z;14.680556
2023-07-10T17:21:47.472Z;14.796422
2023-07-10T17:21:48.465Z;11.753704
2023-07-10T17:21:49.477Z;7.666147
2023-07-10T17:21:50.476Z;7.725168
2023-07-10T17:21:51.524Z;7.674786
2023-07-10T17:21:52.469Z;7.682699
2023-07-10T17:21:53.459Z;7.717848
2023-07-10T17:21:54.461Z;7.687711
2023-07-10T17:21:55.477Z;7.672148
2023-07-10T17:21:56.470Z;7.600334
2023-07-10T17:21:57.465Z;7.724641
2023-07-10T17:21:58.497Z;7.710858
2023-07-10T17:21:59.467Z;7.701098
2023-07-10T17:22:00.468Z;8.360486
2023-07-10T17:22:01.473Z;8.983406
2023-07-10T17:22:02.481Z;3.155617
2023-07-10T17:22:03.471Z;8.274229
2023-07-10T17:22:04.490Z;26.81305
2023-07-10T17:22:05.482Z;26.920937
2023-07-10T17:22:06.484Z;26.651682
2023-07-10T17:22:07.475Z;26.759964
2023-07-10T17:22:09.511Z;18.020095
2023-07-10T17:22:09.560Z;18.020095
2023-07-10T17:22:10.495Z;18.007565
2023-07-10T17:22:11.503Z;17.983363
2023-07-10T17:22:12.496Z;17.988046
2023-07-10T17:22:13.487Z;18.063751
2023-07-10T17:22:14.510Z;17.892161
2023-07-10T17:22:15.487Z;17.778142
2023-07-10T17:22:16.499Z;17.742201
2023-07-10T17:22:17.489Z;17.748994
2023-07-10T17:22:18.505Z;17.720769
2023-07-10T17:22:19.496Z;17.803992
2023-07-10T17:22:20.506Z;17.66465
2023-07-10T17:22:21.495Z;17.57193
2023-07-10T17:22:22.508Z;17.766337
2023-07-10T17:22:23.502Z;17.637282
2023-07-10T17:22:24.512Z;17.589538
2023-07-10T17:22:25.509Z;17.487916
2023-07-10T17:22:26.521Z;17.527615
2023-07-10T17:22:27.515Z;17.453954
2023-07-10T17:22:28.503Z;17.511524
2023-07-10T17:22:29.504Z;17.505853
2023-07-10T17:22:30.525Z;17.471166
2023-07-10T17:22:31.512Z;17.395395
2023-07-10T17:22:32.536Z;17.485476
2023-07-10T17:22:33.537Z;17.367698
2023-07-10T17:22:34.510Z;17.2639
2023-07-10T17:22:35.524Z;17.28553
2023-07-10T17:22:36.525Z;17.332615
2023-07-10T17:22:37.511Z;17.179951
2023-07-10T17:22:38.539Z;17.23917
2023-07-10T17:22:39.537Z;17.291201
2023-07-10T17:22:40.529Z;17.227498
2023-07-10T17:22:41.525Z;17.090463
